Data;Receitas_Correntes_PMF;População_Fpolis_IBGE_5917;Rendimento_Nominal_IBGE_6472;Exportações_MDIC;Importações_MDIC;Consumo_MWh_Celesc;Preço_Médio_Venda_Imóvel_Residencial_FIPEZAP;Massa_Salarial_SC_IBGE_6474;PIB_Brasil_IBGE_1846;ICV_UDESC;PIB_Fpolis_IBGE_5938
01/03/2012;311680870;441;2482;12206116;207395664;339700;4655;5021;1129474;397;3271680
01/06/2012;209137464;443;2311;3287203;201214557;281690;4655;5063;1183126;402;3427090
01/09/2012;216287857;445;2351;5117032;193992973;262288;4495;5316;1230449;409;3564168
01/12/2012;253652504;447;2320;8119505;199570310;270015;4604;5419;1271711;414;3683689
01/03/2013;346160346;449;2210;4999986;130248996;335107;4846;5450;1241614;421;3487340
01/06/2013;232273147;451;2219;2416860;130389010;276522;4935;5558;1322580;427;3714750
01/09/2013;240214548;453;2450;7971019;133975151;264971;5109;5639;1354134;432;3803377
01/12/2013;281712633;455;2664;6555809;143837973;282002;5429;5851;1413291;439;3969532
01/03/2014;398874272;457;2655;5842004;142694094;379654;5564;6035;1385981;449;4056991
01/06/2014;267644124;459;2612;5146235;127296863;293779;5576;6023;1422322;456;4163367
01/09/2014;276794856;462;2824;3408644;138772621;266361;5707;6381;1462125;459;4279877
01/12/2014;324612344;464;2993;5379149;140965775;301666;5636;6687;1508525;469;4415697
01/03/2015;462706243;466;2815;4960825;135815369;373048;5722;6775;1456659;484;4280725
01/06/2015;310475295;468;2789;2778758;89906721;288797;6011;6929;1479970;496;4349230
01/09/2015;321090421;470;2886;4248815;104330430;262752;6165;6946;1508228;505;4432273
01/12/2015;376560157;472;2939;5473474;86560442;277799;6108;6936;1550930;517;4557762
01/03/2016;463281347;474;2870;14930518;81552243;361741;6266;6893;1500299;535;4465695
01/06/2016;296920160;476;2902;18231967;72329808;306362;6268;6842;1559050;542;4640570
01/09/2016;298406352;478;3115;9154675;84433558;266713;6376;7228;1577170;550;4694504
01/12/2016;371334497;480;2901;9233959;69353033;268239;6394;7368;1632808;554;4860113
01/03/2017;499899226;482;3069;8216171;87699514;381770;6401;7682;1585673;555;4699294
01/06/2017;326343199;484;3293;7320880;77252349;269687;6466;7807;1630730;558;4832825
01/09/2017;320974038;486;3063;8861213;85078687;258146;6591;8127;1648635;555;4885888
01/12/2017;397342502;488;3053;5986748;89742553;272732;6671;8320;1720441;564;5098692
01/03/2018;528171336;490;3209;9099961;117153021;344852;6741;8323;1682083;571;5057663
01/06/2018;368598979;492;3333;7058260;101112200;298848;6739;8331;1734099;584;5214064
01/09/2018;371547730;494;3310;5902739;100296831;257086;6714;8589;1767856;585;5315564
01/12/2018;433628488;496;3462;5121471;98596734;280191;6744;8838;1820103;590;5472659
01/03/2019;587422784;498;3523;8853423;106926259;394586;6907;8723;1757554;595;5224773
01/06/2019;395274936;500;3638;9095706;87653330;295629;6927;8900;1826761;602;5430509
01/09/2019;403630102;502;3634;7478367;92371533;262994;6909;9135;1880610;606;5590588
01/12/2019;487983996;504;3894;8557489;94378827;289412;6967;9426;1924206;613;5720189
01/03/2020;603446609;506;3947;5300652;106239781;368661;7123;9247;1868095;618;5229007
01/06/2020;364878397;507;4161;6953365;73692154;270420;7257;9186;1752724;620;4906071
01/09/2020;474046253;508;4240;7335266;85389035;257027;7323;9206;1929323;628;5400391
01/12/2020;515015331;509;4171;6817809;106465407;277475;7457;9628;2059455;643;5764645
01/03/2021;693645595;511;4234;7652777;129603040;341284;7651;9871;2156670;659;5636889
01/06/2021;456291843;513;4198;9044393;138668049;290446;7945;10144;2203639;674;5759652
01/09/2021;505792881;515;4133;13580974;165584312;271550;8302;10266;2295851;689;6000667
01/12/2021;539627279;517;4113;10561454;170295499;279982;8630;10580;2355982;711;6157831
01/03/2022;841714925;520;4282;11675122;206133908;385753;8869;11057;2319528;732;
01/06/2022;578809655;523;4518;12004218;190884637;300954;9100;11693;2517481;743;
01/09/2022;585105165;525;4874;12468286;206476257;278391;9348;12222;2601182;735;
01/12/2022;619574228;527;4979;10135544;229655822;299474;9608;12344;2641485;744;
01/03/2023;1008752115;529;5333;12775737;189847114;408609;9909;12290;2582706;760;
01/06/2023;664656045;530;5223;12519584;183242238;337584;10213;12609;2701105;767;
01/09/2023;685087695;532;5321;11272141;198787680;273443;10568;13147;2740961;775;
01/12/2023;779745755;534;5590;15244334;195801901;310946;10788;13651;2831340;783;
01/03/2024;1065387836;536;5303;15496743;232385530;432101;11011;13701;2713917;797;
