Ano,Taxa Desemprego,Massa Salarial Real,Rendimento Nominal,Pop Fpolis,Passageiros,Consumo MWh,Emplacamentos,Exportações,Importações,ICV,Receitas Correntes,Venda Residencial,Aluguel Residencial,Venda Comercial,Aluguel Comercial,PIB Corrente Fpolis
mar/12,"4,1",1081,2482,441,,"339699,796",,12206116,207395664,"396,92",,,,,,"3486655,25"
jun/12,5,1031,2311,443,,"281689,873",,3287203,201214557,"401,62",,"4654,95371338475",,,,"3486656,25"
set/12,"3,7",1062,2351,445,,"262288,322",,5117032,193992973,"409,38",,"4495,39225694282",,,,"3486657,25"
dez/12,"2,9",1057,2320,447,,"270014,779",,8119505,199570310,"414,23",,"4603,83437907179",,,,"3486658,25"
mar/13,"4,6",978,2210,449,,"335106,68",,4999986,130248996,"421,43",,"4845,63285458752",,,,"3743748,25"
jun/13,"3,8",1019,2219,451,,"276521,944",,2416860,130389010,"427,06",,"4934,75149990672",,,,"3743749,25"
set/13,"2,7",1084,2450,453,,"264971,071",,7971019,133975151,"432,29",,"5108,5583466985",,,,"3743750,25"
dez/13,3,1197,2664,455,,"282001,695",,6555809,143837973,"439,46",,"5428,7871486328",,,,"3743751,25"
mar/14,"4,9",1147,2655,457,,"379653,672",,5842004,142694094,"449,11",,"5563,57260723511",,,,"4228981,5"
jun/14,"4,1",1105,2612,459,,"293778,904",,5146235,127296863,"455,65",,"5575,53186773955",,,,"4228982,5"
set/14,"4,3",1184,2824,462,,"266360,812",,3408644,138772621,"459,03",,"5707,48724129772",,,,"4228983,5"
dez/14,"4,7",1287,2993,464,,"301666,322",,5379149,140965775,"469,02",,"5635,90464036003",,,,"4228984,5"
mar/15,"5,4",1129,2815,466,,"373047,658",3485,4960825,135815369,"484,47",,"5722,38546232579",,,,4404996
jun/15,"5,8",1085,2789,468,,"288797,093",9099,2778758,89906721,"496,14",,"6011,07795090945",,,,4404997
set/15,"5,7",1097,2886,470,,"262751,661",9906,4248815,104330430,"505,02",,"6164,64711921614",,,,4404998
dez/15,"6,2",1095,2939,472,,"277798,558",10355,5473474,86560442,"517,09",,"6108,35747479046",,,,4404999
mar/16,"6,2",1032,2870,474,,"361741,456",8129,14930518,81552243,"534,66","463281347,03","6265,8512284825",,,,4665219
jun/16,"7,5",1019,2902,476,,"306361,742",7696,18231967,72329808,"542,28","296920159,96","6267,93342714167",,,,4665220
set/16,"6,9",1070,3115,478,,"266713,088",7875,9154675,84433558,"549,63","298406351,71","6376,20485818791",,,,4665221
dez/16,"5,3",1016,2901,480,,"268238,598319",8789,9233959,69353033,"553,81","371334496,6","6393,59744412871","21,5863846532539",,,4665222
mar/17,"6,4",1067,3069,482,,"381769,705564",8199,8216171,87699514,"555,18","499899225,52","6401,29980264917","21,8544265266394",,,"4879173,5"
jun/17,"7,6",1072,3293,484,,"269687,467708",7854,7320880,77252349,"558,39","326343199,31","6465,94447686183","22,307463205396",,,"4879174,5"
set/17,"8,8",1027,3063,486,,"258146,435675",8605,8861213,85078687,"555,16","320974037,91","6590,61941181716","22,2547078685663",,,"4879175,5"
dez/17,"7,9",1063,3053,488,,"272732,474",9802,5986748,89742553,"564,02","397342502,16","6671,02969067043","22,2671610956286",,,"4879176,5"
mar/18,"6,6",1121,3209,490,1118079,"344851,8780657",8834,9099961,117153021,"571,21","528171335,73","6740,60346871021","23,0289840279412","8764,30901406133","36,2899010726053",5264986
jun/18,"6,3",1148,3333,492,785388,"298847,57459",9330,7058260,101112200,"583,6","368598979,37","6738,85381061959","22,5779646280956","8467,67979614102","35,3711355651708",5264987
set/18,"6,6",1164,3310,494,901212,"257085,6101",9501,5902739,100296831,"584,87","371547729,77","6714,10438262409","22,8433789379487","8556,11525687308","35,7448489046062",5264988
dez/18,"6,4",1251,3462,496,1034669,"280191,03702",10772,5121471,98596734,"589,56","433628487,94","6744,14317666856","23,1324220962382","8357,24734197611","35,8864375644946",5264989
mar/19,"9,6",1233,3523,498,1189547,"394585,56933",8894,8853423,106926259,"594,7","587422784,46","6907,23142854469","23,8226344416254","8330,10064322138","36,1347992390782","5491513,25"
jun/19,"7,6",1291,3638,500,835874,"295629,356",9571,9095706,87653330,"601,6","395274935,81","6927,24916340262","25,260134987845","8208,65603374706","36,7135195778266","5491514,25"
set/19,"8,5",1287,3634,502,871480,"262993,9385",10313,7478367,92371533,"605,64","403630102,28","6909,17460790699","25,7795923569578","8104,11017100726","36,5282257897277","5491515,25"
dez/19,"8,1",1367,3894,504,1021329,"289411,92037",12141,8557489,94378827,"612,63","487983995,96","6967,26011550842","26,5540674292779","8118,77296961299","36,7084086500452","5491516,25"
mar/20,"8,8",1316,3947,506,1003400,"368660,53101",7869,5300652,106239781,"618,02","603446608,56","7122,5984606965","26,9614562056091","8251,36287454377","36,4298549288768","5325027,25"
jun/20,,,,,91371,"270420,16702",5702,6953365,73692154,"619,88","364878396,97","7256,95570439918","27,6078579401161","8294,80923295857","36,08030233013","5325028,25"
set/20,,,,,236410,"257027,43678",8523,7335266,85389035,"628,47","474046253,07","7322,77476932085","26,6247413236928","8347,25195698151","35,8399062301205","5325029,25"
dez/20,,,,,538709,"277475,16739",10495,6817809,106465407,"643,35","515015330,83","7456,70932651397","26,7709148091296","8209,22150572469","36,2398914409311","5325030,25"
mar/21,,,,,535117,"341283,61988",7954,7652777,129603040,"659,38","693645595,14","7650,58938020514","27,6505076482744","8209,72930306508","36,5034678961211","5888758,5"
jun/21,,,,,375923,"290445,92226",8380,9044393,138668049,"674,11","456291842,58","7944,54910038622","27,7818213491899","8053,24260810305","36,361326475913","5888759,5"
set/21,,,,,602168,"271549,65147",8714,13580974,165584312,"689,39","505792881,4","8301,78322132532","28,4895906973401","7980,12377912055","35,9553625828972","5888760,5"
dez/21,,,,,845592,"279982,27856",9613,10561454,170295499,"711,17","539627278,61","8630,06767005412","29,8726735311593","7928,73633558832","36,1910241329108","5888761,5"
mar/22,,,,,895037,"385753,32294",7838,11675122,206133908,"731,92","841714925,12","8868,83755703557","32,048871096651","8050,74127403962","37,1974903432607",
jun/22,"6,5",1327,4518,523,737503,"300954,444",9390,12004218,190884637,"742,79","578809655,44","9100,14687782521","35,4302709327659","8210,38444373502","38,5884335326992",
set/22,"5,6",1463,4874,525,811290,"278390,67414",9139,12468286,206476257,"735,31","585105165,38","9348,22122281458","37,9880091724851","8165,50910248266","39,2266502581315",
dez/22,"6,2",1516,4979,527,959741,"299473,86173",9688,10135544,229655822,"743,94","619574227,65","9607,83048894612","39,0009652313583","8182,45360235593","40,7149094746427",
mar/23,"5,5",1555,5333,529,1065270,"408609,07426",8879,12775737,189847114,"759,6","1008752114,66","9909,35740376441","43,8282902889356","8357,48213554026","41,6272220638128",
jun/23,6,1480,5223,530,879001,"337584,19884",9814,12519584,183242238,"766,6","664656044,79","10212,7472247132","48,2501807383275","8234,44263286118","41,5703224319885",
set/23,"4,9",1545,5321,532,960460,"273442,867",10177,11272141,198787680,"775,37","685087695,49","10567,8061232042","50,4476349141839","8311,92543712723","42,199081912603",
dez/23,"4,3",1732,5590,534,1065209,"310946,07833",10848,15244334,195801901,"782,84","779745754,52","10787,9998237506","49,7983728498209","8213,53830225834","43,6677137142077",
mar/24,"5,1",1617,5303,536,1185632,"432101,49",10540,15496743,232385530,"796,94","1065387835,55","11010,8401932858","52,0355746185343","8211,69354816024","45,1048994018308",
jun/24,"4,9",1742,5879,538,1075719,,11903,11439786,200990249,"805,97","741503411,36","11340,4163865117","53,7102283247342","8254,96926674645","46,010532692693",
set/24,,,,,1349277,,12546,18839605,234255380,"815,52","746686911,3","11603,6571673926","53,8326148673893","8313,87139888225","45,194230614597",
dez/24,,,,,,,,,,,,,,,,
